Sector 1,Sector 2,Similarity Score
Mining,"Water Supply, Sewerage, Waste Management & Remediation activities",68.96398192238114
"Water Supply, Sewerage, Waste Management & Remediation activities",Mining,68.96398192238114
Retail,Domestic Workers,68.93208703590139
Domestic Workers,Retail,68.93208703590139
Power,Instrumentation,68.8268553268651
Instrumentation,Power,68.8268553268651
Logistics,Power,68.81329370922319
Power,Logistics,68.81329370922319
Wood & Carpentry,Management,68.7905413163313
Management,Wood & Carpentry,68.7905413163313
Healthcare,"Education, Training & Research",68.75122306443268
"Education, Training & Research",Healthcare,68.75122306443268
Logistics,Wood & Carpentry,68.74203911163195
Wood & Carpentry,Logistics,68.74203911163195
Food Processing,Leather,68.74077881762783
Leather,Food Processing,68.74077881762783
Apparel,Life Sciences,68.70714820506551
Life Sciences,Apparel,68.70714820506551
Capital Goods & Manufacturing,Sports,68.69463160274537
Sports,Capital Goods & Manufacturing,68.69463160274537
Sports,Apparel,68.69440307613867
Apparel,Sports,68.69440307613867
Mining,Food Processing,68.6656650433585
Food Processing,Mining,68.6656650433585
Retail,Tourism & Hospitality,68.61860630223184
Tourism & Hospitality,Retail,68.61860630223184
Capital Goods & Manufacturing,Mining,68.61494299540725
Mining,Capital Goods & Manufacturing,68.61494299540725
Plumbing,"Water Supply, Sewerage, Waste Management & Remediation activities",68.60272591998735
"Water Supply, Sewerage, Waste Management & Remediation activities",Plumbing,68.60272591998735
Life Sciences,Domestic Workers,68.54815624507167
Domestic Workers,Life Sciences,68.54815624507167
Capital Goods & Manufacturing,Life Sciences,68.5032036847428
Life Sciences,Capital Goods & Manufacturing,68.5032036847428
Apparel,Wood & Carpentry,68.49363202997407
Wood & Carpentry,Apparel,68.49363202997407
Furniture & Fittings,Capital Goods & Manufacturing,68.48139096239566
Capital Goods & Manufacturing,Furniture & Fittings,68.48139096239566
Life Sciences,Wood & Carpentry,68.46954251043688
Wood & Carpentry,Life Sciences,68.46954251043688
Capital Goods & Manufacturing,PwD,68.41054429094928
PwD,Capital Goods & Manufacturing,68.41054429094928
Food Processing,Agriculture,68.39289598010681
Agriculture,Food Processing,68.39289598010681
Life Sciences,Sports,68.38739585954818
Sports,Life Sciences,68.38739585954818
Textile,Textile,68.38543899485822
PwD,"Water Supply, Sewerage, Waste Management & Remediation activities",68.37082476485074
"Water Supply, Sewerage, Waste Management & Remediation activities",PwD,68.37082476485074
Capital Goods & Manufacturing,Logistics,68.36995314806221
Logistics,Capital Goods & Manufacturing,68.36995314806221
PwD,Logistics,68.36101509111485
Logistics,PwD,68.36101509111485
Power,Automotive,68.36011890369981
Automotive,Power,68.36011890369981
Healthcare,Life Sciences,68.35256781331381
Life Sciences,Healthcare,68.35256781331381
Wood & Carpentry,Capital Goods & Manufacturing,68.29224303564659
Capital Goods & Manufacturing,Wood & Carpentry,68.29224303564659
Iron and Steel,PwD,68.28521754366372
PwD,Iron and Steel,68.28521754366372
Handicrafts and Carpet,Apparel,68.2572976583647
Apparel,Handicrafts and Carpet,68.2572976583647
Mining,Hydrocarbon,68.22971599085484
Hydrocarbon,Mining,68.22971599085484
Wood & Carpentry,Furniture & Fittings,68.2036133645093
Furniture & Fittings,Wood & Carpentry,68.2036133645093
"Education, Training & Research",Retail,68.20337427892123
Retail,"Education, Training & Research",68.20337427892123
Telecom,PwD,68.14576903792505
PwD,Telecom,68.14576903792505
Apparel,Telecom,68.13771440371964
Telecom,Apparel,68.13771440371964
"Education, Training & Research",Life Sciences,68.1309476488066
Life Sciences,"Education, Training & Research",68.1309476488066
Infrastructure Equipment,Food Processing,68.1203780080601
Food Processing,Infrastructure Equipment,68.1203780080601
Capital Goods & Manufacturing,Automotive,68.08920698430356
Automotive,Capital Goods & Manufacturing,68.08920698430356
Retail,BFSI,68.08045089060975
BFSI,Retail,68.08045089060975
Leather,Furniture & Fittings,68.07467211423867
Furniture & Fittings,Leather,68.07467211423867
Automotive,Apparel,68.07299587758432
Apparel,Automotive,68.07299587758432
Telecom,Capital Goods & Manufacturing,68.0728483136616
Capital Goods & Manufacturing,Telecom,68.0728483136616
Tourism & Hospitality,Healthcare,68.06680229731909
Healthcare,Tourism & Hospitality,68.06680229731909
Food Processing,Green Jobs,68.063885253799
Green Jobs,Food Processing,68.063885253799
Telecom,Life Sciences,68.06372963053641
Life Sciences,Telecom,68.06372963053641
Furniture & Fittings,Food Processing,68.06208128122994
Food Processing,Furniture & Fittings,68.06208128122994
"Education, Training & Research",Apparel,68.05892206292732
Apparel,"Education, Training & Research",68.05892206292732
PwD,"Education, Training & Research",68.0183600587145
"Education, Training & Research",PwD,68.0183600587145
Instrumentation,Telecom,68.01588420346106
Telecom,Instrumentation,68.01588420346106
Power,Sports,67.99083451722827
Sports,Power,67.99083451722827
Apparel,Iron and Steel,67.90201670618347
Iron and Steel,Apparel,67.90201670618347
Logistics,Telecom,67.89177927750025
Telecom,Logistics,67.89177927750025
Domestic Workers,Capital Goods & Manufacturing,67.89014209469377
Capital Goods & Manufacturing,Domestic Workers,67.89014209469377
Logistics,Life Sciences,67.88555753658531
Life Sciences,Logistics,67.88555753658531
Telecom,Mining,67.87109526436231
Mining,Telecom,67.87109526436231
Wood & Carpentry,Telecom,67.84476313088219
Telecom,Wood & Carpentry,67.84476313088219
Infrastructure Equipment,Apparel,67.81129162401221
Apparel,Infrastructure Equipment,67.81129162401221
Iron and Steel,Wood & Carpentry,67.78730320682192
Wood & Carpentry,Iron and Steel,67.78730320682192
Mining,PwD,67.78602253599217
PwD,Mining,67.78602253599217
Iron and Steel,Food Processing,67.78022700715067
Food Processing,Iron and Steel,67.78022700715067
Domestic Workers,Logistics,67.76972366664678
Logistics,Domestic Workers,67.76972366664678
PwD,Automotive,67.76611319938658
Automotive,PwD,67.76611319938658
Infrastructure Equipment,Iron and Steel,67.74022170818496
Iron and Steel,Infrastructure Equipment,67.74022170818496
Tourism & Hospitality,"Education, Training & Research",67.73789500231626
"Education, Training & Research",Tourism & Hospitality,67.73789500231626
Logistics,Furniture & Fittings,67.71424075987478
Furniture & Fittings,Logistics,67.71424075987478
Domestic Workers,Mining,67.6914222262572
Mining,Domestic Workers,67.6914222262572
Apparel,Logistics,67.68364567760945
Logistics,Apparel,67.68364567760945
Cross Sectoral,Capital Goods & Manufacturing,67.67171847131037
Capital Goods & Manufacturing,Cross Sectoral,67.67171847131037
Telecom,Sports,67.64935387907931
Sports,Telecom,67.64935387907931
Cross Sectoral,"Education, Training & Research",67.62982805584414
"Education, Training & Research",Cross Sectoral,67.62982805584414
Power,"Education, Training & Research",67.61066457354343
"Education, Training & Research",Power,67.61066457354343
Life Sciences,Mining,67.60950180256305
Mining,Life Sciences,67.60950180256305
Handicrafts and Carpet,Leather,67.60859303604023
Leather,Handicrafts and Carpet,67.60859303604023
Green Jobs,Apparel,67.60638916167287
Apparel,Green Jobs,67.60638916167287
Telecom,Domestic Workers,67.59287665389763
Domestic Workers,Telecom,67.59287665389763
Sports,Logistics,67.57884361978054
Logistics,Sports,67.57884361978054
Food Processing,Domestic Workers,67.52141917371767
Domestic Workers,Food Processing,67.52141917371767
Apparel,Tourism & Hospitality,67.51739121728477
Tourism & Hospitality,Apparel,67.51739121728477
PwD,Leather,67.51347393329117
Leather,PwD,67.51347393329117
Domestic Workers,"Water Supply, Sewerage, Waste Management & Remediation activities",67.50292116965367
"Water Supply, Sewerage, Waste Management & Remediation activities",Domestic Workers,67.50292116965367
Leather,Capital Goods & Manufacturing,67.46801263530023
Capital Goods & Manufacturing,Leather,67.46801263530023
Power,Furniture & Fittings,67.39060254700635
Furniture & Fittings,Power,67.39060254700635
Apparel,Healthcare,67.3267527869026
Healthcare,Apparel,67.3267527869026
Mining,Green Jobs,67.3117895319034
Green Jobs,Mining,67.3117895319034
Logistics,Food Processing,67.3037164859384
Food Processing,Logistics,67.3037164859384
Green Jobs,Telecom,67.28559626765973
Telecom,Green Jobs,67.28559626765973
Healthcare,Power,67.25208692724227
Power,Healthcare,67.25208692724227
Hydrocarbon,Telecom,67.24614547598406
Telecom,Hydrocarbon,67.24614547598406
BFSI,"Education, Training & Research",67.23636506961029
"Education, Training & Research",BFSI,67.23636506961029
Automotive,Domestic Workers,67.23246336828426
Domestic Workers,Automotive,67.23246336828426
Capital Goods,Capital Goods,67.21631574318234
Green Jobs,Agriculture,67.17996762994896
Agriculture,Green Jobs,67.17996762994896
Tourism & Hospitality,Capital Goods & Manufacturing,67.1743675037806
Capital Goods & Manufacturing,Tourism & Hospitality,67.1743675037806
Sports,Mining,67.17352134976969
Mining,Sports,67.17352134976969
Green Jobs,"Water Supply, Sewerage, Waste Management & Remediation activities",67.16135578503871
"Water Supply, Sewerage, Waste Management & Remediation activities",Green Jobs,67.16135578503871
Mining,Leather,67.13811927176626
Leather,Mining,67.13811927176626
Agriculture,Apparel,67.13370568790926
Apparel,Agriculture,67.13370568790926
Furniture & Fittings,Mining,67.11784876068877
Mining,Furniture & Fittings,67.11784876068877
Capital Goods & Manufacturing,Food Processing,67.11369581567527
Food Processing,Capital Goods & Manufacturing,67.11369581567527
Food Processing,Telecom,67.10355238680928
Telecom,Food Processing,67.10355238680928
Food Processing,Life Sciences,67.09840853894936
Life Sciences,Food Processing,67.09840853894936
Domestic Workers,Iron and Steel,67.08170528003136
Iron and Steel,Domestic Workers,67.08170528003136
Cross Sectoral,Life Sciences,67.07875364618884
Life Sciences,Cross Sectoral,67.07875364618884
Logistics,"Education, Training & Research",67.06959462909794
"Education, Training & Research",Logistics,67.06959462909794
Green Jobs,Plumbing,67.05751660432387
Plumbing,Green Jobs,67.05751660432387
Mining,Logistics,67.05560337514244
Logistics,Mining,67.05560337514244
Life Sciences,Automotive,67.04092789063206
Automotive,Life Sciences,67.04092789063206
Hydrocarbon,Apparel,66.98691546500379
Apparel,Hydrocarbon,66.98691546500379
BFSI,Domestic Workers,66.98063894643006
Domestic Workers,BFSI,66.98063894643006
Tourism & Hospitality,Life Sciences,66.95007143922537
Life Sciences,Tourism & Hospitality,66.95007143922537
Capital Goods & Manufacturing,"Water Supply, Sewerage, Waste Management & Remediation activities",66.93636905011712
"Water Supply, Sewerage, Waste Management & Remediation activities",Capital Goods & Manufacturing,66.93636905011712
Retail,Information Technology Sector,66.93213925115315
Information Technology Sector,Retail,66.93213925115315
Power,Tourism & Hospitality,66.9203369713868
Tourism & Hospitality,Power,66.9203369713868
Automotive,Mining,66.90821201856494
Mining,Automotive,66.90821201856494
Information Technology Sector,Telecom,66.90488236597206
Telecom,Information Technology Sector,66.90488236597206
Telecom,Automotive,66.90262297730787
Automotive,Telecom,66.90262297730787
Leather,Iron and Steel,66.89065729309766
Iron and Steel,Leather,66.89065729309766
Hydrocarbon,Life Sciences,66.87637244969893
Life Sciences,Hydrocarbon,66.87637244969893
Construction,Power,66.84704936932849
Power,Construction,66.84704936932849
Instrumentation,Mining,66.84301928452956
Mining,Instrumentation,66.84301928452956
